,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
78,base_setup,diff,82.57e-3,,,,79.38e-3,85.15e-3,85.15e-3,82.64e-3,79.38e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
79,base_setup,diff,-35.16e-3,,,,-38.58e-3,-31.16e-3,-38.58e-3,-35.25e-3,-31.16e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
80,base_setup,diff,13.85e-3,,,,10.5e-3,15.85e-3,15.85e-3,13.92e-3,10.5e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
81,base_setup,diff,56.81e-3,,,,53.8e-3,60.92e-3,53.8e-3,56.72e-3,60.92e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
82,base_setup,diff,104.2e-3,,,,101.3e-3,106.1e-3,106.1e-3,104.3e-3,101.3e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
83,base_setup,diff,-10.88e-3,,,,-13.65e-3,-6.933e-3,-13.65e-3,-10.96e-3,-6.933e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
84,base_setup,diff,36.62e-3,,,,33.37e-3,39.11e-3,39.11e-3,36.69e-3,33.37e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
85,base_setup,diff,14.53e-3,,,,8.621e-3,23.12e-3,8.621e-3,14.35e-3,23.12e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
86,base_setup,diff,62.8e-3,,,,62.08e-3,64.22e-3,62.08e-3,62.77e-3,64.22e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
87,base_setup,diff,-54.15e-3,,,,-61.03e-3,-45.51e-3,-61.03e-3,-54.34e-3,-45.51e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
88,base_setup,diff,-6.004e-3,,,,-7.474e-3,-4.607e-3,-7.474e-3,-6.038e-3,-4.607e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
89,base_setup,diff,85.84e-3,,,,83.6e-3,87.41e-3,87.41e-3,85.88e-3,83.6e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
90,base_setup,diff,133.7e-3,,,,124.5e-3,139.8e-3,139.8e-3,133.9e-3,124.5e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
91,base_setup,diff,18.3e-3,,,,15.9e-3,20.02e-3,20.02e-3,18.35e-3,15.9e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
92,base_setup,diff,66.45e-3,,,,56.79e-3,73.28e-3,73.28e-3,66.65e-3,56.79e-3
